,Name,State,C,act_fn,attention_dir,attn_coeff,batch_size,d_model,diff_vocab,epoch,eqn_sign,frac,func,funcs,lr,n_heads,n_layers,name,runid,weight_decay,best_test_accuracy,best_train_accuracy,distance_irrelevance,generalization_delay1,generalization_delay2,generalization_gap,mean_std_row,med_std_row,parameter_norm,std_mean_col,std_med_col,training_accuracy,training_loss,validation_accuracy,validation_loss,gradient_sim,circularity
7394,crimson-star-449,finished,59,ReLU,casual,0.423888715,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,x7np4nk7dh,2,1,1,0.563794795,54.50615476,54.52604708,0,0.147352559,0.142108236,24.61179586,0.126029794,0.120920267,1,1.55E-07,1,3.73E-07,0.99363377,0.945456767
7395,sunny-water-448,finished,59,ReLU,casual,0.016309677,3481,128,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,vm8vcw8slk,2,1,1,0.5456965,58.13762755,58.14559221,0,0.156714502,0.155827071,13.32518411,0.140034771,0.142965556,1,2.04E-08,1,3.93E-06,0.997438853,0.710789584
7396,different-plasma-447,finished,59,ReLU,casual,0.408848663,3481,128,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,kpfmdonx4v,2,1,1,0.980688516,94.97194146,94.98195977,0,0.044572122,0.039261469,20.35953976,0.028605086,0.02918244,1,0.087895828,0.958393097,0.167277513,0.942796898,0.495862842
7397,misunderstood-plant-446,finished,59,ReLU,casual,0.128373832,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,yqiv6jw9fm,2,1,1,0.452724709,63.1337076,63.1337076,0,0.167146885,0.16553071,14.02205893,0.161724149,0.164268526,1,2.16E-08,1,3.08E-08,0.994575465,0.990697788
7398,dutiful-forest-445,finished,59,ReLU,casual,0.16837905,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,hjsvmuego1,2,1,1,0.960179072,57.03960351,57.11339834,0,0.0693153,0.065494042,22.61727351,0.04323061,0.044656612,1,0.021185572,1,0.025458502,0.965362322,0.811442459
7399,lemon-meadow-444,finished,59,ReLU,casual,0.760189921,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,x62qoe2bxq,2,1,1,0.548052392,80.76354232,80.80160519,0,0.167199039,0.167941675,23.52245565,0.148498499,0.147823926,1,1.26E-05,0.997130573,0.004421622,0.783042973,0.758780273
7400,different-sea-443,finished,59,ReLU,casual,0.422067532,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,wwbz8gdw6h,2,1,1,0.611471831,50.21297876,50.39403077,0,0.142570379,0.10913107,24.50054589,0.114129515,0.098024619,1,1.50E-07,1,3.41E-07,0.993286254,0.916062081
7401,pleasant-shape-442,finished,59,ReLU,casual,0.825940047,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,h6ijqahisr,2,1,1,0.482779181,57.25776183,57.25776183,0,0.169953515,0.171660706,17.64101745,0.160925607,0.163749303,1,4.45E-08,1,2.13E-06,0.545791928,0.995811274
7402,autumn-paper-441,finished,59,ReLU,casual,0.340121303,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,qksagvjdbi,2,1,1,0.389397557,62.98363244,63.04536509,0,0.20184743,0.198382148,24.58325162,0.19069763,0.190576924,1,0.000381136,1,0.002359928,0.99775394,0.722588745
7403,easy-river-440,finished,59,ReLU,casual,0.763890992,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,6zj24tptum,2,1,1,0.759727079,51.5522868,51.5522868,0,0.117961398,0.113614827,25.13797573,0.072736343,0.072215942,1,1.48E-07,1,2.11E-07,0.67041903,0.996687964
7404,sweet-wildflower-439,finished,59,ReLU,casual,0.696145158,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,5kjvp7yr67,2,1,1,0.69746577,53.41796354,53.41934672,0,0.158092787,0.15382154,23.53473174,0.123405359,0.12685698,1,2.28E-07,1,0.001653949,0.950277832,0.841247822
7405,dry-tree-438,finished,59,ReLU,casual,0.294644933,3481,128,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,5pulb5n498,2,1,1,0.39553899,172.0413568,172.050213,0,0.181824727,0.182960903,16.56421299,0.176580598,0.177406934,1,4.00E-08,1,6.47E-08,0.996041442,0.495650942
7406,atomic-sea-437,finished,59,ReLU,casual,0.677372355,3481,128,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,rkz8eo3o1f,2,1,1,0.732292933,210.1767215,210.1774357,0,0.127741018,0.12758886,25.9101138,0.097162127,0.096107829,1,1.56E-07,1,2.75E-07,0.979778852,0.493498764
7407,olive-water-436,finished,59,ReLU,casual,0.363605756,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,87aar55r3j,2,1,1,0.991720556,86.19202035,86.19202035,0,0.039363117,0.037598633,24.01692143,0.023166302,0.022014207,1,0.013200813,1,0.021745711,0.93509444,0.956372876
