,Name,State,C,act_fn,attention_dir,attn_coeff,batch_size,d_model,diff_vocab,epoch,eqn_sign,frac,func,funcs,lr,n_heads,n_layers,name,runid,weight_decay,best_test_accuracy,best_train_accuracy,distance_irrelevance,generalization_delay1,generalization_delay2,generalization_gap,mean_std_row,med_std_row,parameter_norm,std_mean_col,std_med_col,training_accuracy,training_loss,validation_accuracy,validation_loss,gradient_sim,circularity
1775,colorful-sea-4373,finished,59,ReLU,casual,0.431989348,3481,42,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,3m4tk492z5,2,0.605451941,0.701508641,0.999629282,1926.407635,42.10853935,0.0960567,0.021020356,0.017546073,19.10674509,0.004264966,0.00539512,0.458333343,1.555710021,0.344332844,1.604514408,0.83647689,0.416129628
1776,earthy-disco-4372,finished,59,ReLU,casual,0.58319951,3481,367,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,dca2el2739,2,1,1,0.581861192,304.6643027,304.7406325,0,0.126416899,0.117492634,26.53654726,0.110556814,0.109647676,1,1.42E-07,1,2.21E-07,0.984957196,0.40113587
1777,iconic-wildflower-4371,finished,59,ReLU,casual,0.465083948,3481,92,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,cyreka6l28,2,1,1,0.793011342,68.96624745,68.98622016,0,0.117039974,0.117313113,21.81417391,0.109555994,0.106979401,1,0.10759247,1,0.116342976,0.959603993,0.49134823
1778,lively-oath-4370,finished,59,ReLU,casual,0.457536374,3481,58,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,pqnlis8zop,2,1,1,0.890471076,27.44881295,27.44881295,0,0.078099608,0.082925513,17.16248452,0.064580368,0.063945433,1,0.026004315,0.998565257,0.033544969,0.994789174,0.611257291
1779,stoic-blaze-4369,finished,59,ReLU,casual,0.263976676,3481,259,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,5tjegkzfig,2,1,1,0.826456835,199.9428283,199.9485507,0,0.108658071,0.108255277,17.52735605,0.101948702,0.10138878,1,4.07E-08,1,8.88E-08,0.996140408,0.500949733
1780,rare-surf-4368,finished,59,ReLU,casual,0.771863155,3481,395,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,8i8sx81dpz,2,1,1,0.749072996,48.76217104,48.76315586,0,0.129628726,0.13044709,47.74123279,0.096312867,0.095386305,1,0.000229718,1,0.000341661,0.975636425,0.569941613
1781,glamorous-lake-4367,finished,59,ReLU,casual,0.441681173,3481,441,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,8y8caq35pz,2,1,1,0.690342211,46.59769055,46.60010391,0,0.145009898,0.141420633,25.49658957,0.105585067,0.106944046,1,1.42E-07,1,5.24E-07,0.985896004,0.982280552
1782,warm-thunder-4366,finished,59,ReLU,casual,0.188199728,3481,89,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,tooaahqdiy,2,1,1,0.800047773,251.2377376,251.2377376,0,0.123003623,0.122108922,32.84560176,0.098330509,0.106317017,1,1.05E-06,0.997130573,0.015902488,0.997660198,0.388563387
1783,desert-gorge-4365,finished,59,ReLU,casual,0.952854223,3481,56,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,eosuppxihx,2,1,1,0.947975178,55.81314123,55.81521806,0,0.162242303,0.164944887,25.55178443,0.051030698,0.050809827,1,2.01E-07,1,2.41E-07,-0.150507153,0.784322889
1784,effortless-brook-4364,finished,59,ReLU,casual,0.756005942,3481,191,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,uzqnumv6r2,2,1,1,0.870266944,63.46679457,63.50385406,0,0.104439381,0.091699566,30.48761528,0.100151026,0.088831767,0.651939631,0.821247482,0.645624101,0.842028047,0.737537099,0.92274492
1785,dutiful-galaxy-4363,finished,59,ReLU,casual,0.049727826,3481,124,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,y5ulwvzqya,2,1,1,0.355986049,166.4358767,166.4397743,0,0.176484284,0.175097487,15.8454503,0.169122907,0.168160233,1,3.55E-08,1,6.59E-08,0.997430078,0.472168991
1786,stellar-pyramid-4362,finished,59,ReLU,casual,0.726416572,3481,275,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,1rhkt1ev83,2,1,1,0.482529131,54.85654271,54.85654271,0,0.170637022,0.17158983,25.57939262,0.157529445,0.160560877,1,1.49E-07,1,2.39E-07,0.98753242,0.91396545
